鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南區,房地(土地+建物),臺中市南區忠明南路１３００號１１樓之３,2.4,都市：其他:第三種住宅區。,,,1130504,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841129,25.44,1,1,1,有,有,2400000,94340,,0.0,0,,RPTPMLPKNHJGFAB08DA,16.73,0.0,0.0,有,
北區,土地,邱厝子段11-115地號,4.0,,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,589760,147440,,0.0,0,畸零地或有合併使用效益；政府機關標讓售；,RPPPMLQKNHJGFBB87DA,0.0,0.0,0.0,無,
后里區,房地(土地+建物),臺中市后里區中興街１１５巷１３號,29.77,住,,,1130504,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0670117,46.8,2,2,3,有,無,1500000,32051,,0.0,0,有占用國有土地頂樓加蓋；,RPOOMLRKNHJGFDB97DA,46.8,0.0,0.0,無,
梧棲區,房地(土地+建物)+車位,臺中市梧棲區四維中路２９７號十一樓之６,15.53,商,,,1130507,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120222,160.64,3,2,2,有,有,10360000,64492,坡道平面,27.25,0,,RPQNMLKKNHJGFFB57DA,83.58,0.0,5.3,有,0001
新社區,房地(土地+建物),臺中市新社區中和街二段２９３巷３號,69.72,,鄉村區,乙種建築用地,1130505,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0591230,99.86,3,1,1,有,無,2700000,27038,,0.0,0,,RPQNMLQJNHJGFGB18DA,99.86,0.0,0.0,無,
東勢區,土地,石圍墻段石圍墻小段78-39地號,117.0,農,,,1130510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,234000,2000,,0.0,0,地政士未簽署買賣契約書私契不動產交易總價由買賣雙方口頭告知地政士登錄親友、員工、共有人或其他特殊關係間之交易；瑕疵物件；,RPPNMLRKNHJGFGB28DA,0.0,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區博館路２８０號,40.33,都市：其他:第二種住宅區,,,1130508,土地3建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0610506,35.25,10,4,4,有,無,6500000,184397,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWNMLQKNHJGFAB28DA,35.25,0.0,0.0,無,0002
南區,土地,頂橋子頭段88-58地號,430.0,都市：其他:第二種住宅區,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,65400000,152093,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLRKNHJGFAB28DA,0.0,0.0,0.0,無,0003
北屯區,車位,臺中市北屯區山西路三段１０２號等公共設施,6.76,都市：其他:第三種住宅區。,,,1130503,土地1建物1車位1,,,其他,,,,43.21,0,0,0,無,有,1800000,,坡道平面,43.21,1800000,僅車位交易；,RPVVMLRJNHJGFBB09DA,0.0,0.0,0.0,有,0004
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩七街５２６號六樓之１,7.1,商,,,1130504,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101029,84.87,2,2,1,有,有,13880000,163544,坡道機械,9.65,0,,RPSTMLSJNHJGFCB78DA,43.07,1.62,4.19,有,0005
西屯區,房地(土地+建物),臺中市西屯區福聯街１５巷９號十二樓之５８,3.84,住,,,1130504,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,21.61,1,0,1,有,有,1650000,76354,,0.0,0,,RPOOMLRKNHJGFCB87DA,12.58,0.0,1.35,有,0006
西屯區,房地(土地+建物),臺中市西屯區西屯路二段湳子巷９之９號,5.91,住,,,1130502,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960523,32.78,0,0,0,無,有,2400000,73215,,0.0,0,陽台外推；,RPWNMLKLNHJGFCB97DA,11.12,0.0,3.69,有,0007
豐原區,房地(土地+建物),臺中市豐原區安康路７號三樓之３,11.59,住,,,1130502,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901018,95.15,3,1,1,有,有,7000000,73568,,0.0,0,,RPSNMLNJNHJGFDB77DA,63.04,0.0,6.69,有,
神岡區,土地,岸裡段1019地號,41.24,工,,,1130510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2307894,55963,,0.0,0,畸零地或有合併使用效益；,RPWNMLKKNHJGFDB97DA,0.0,0.0,0.0,無,0008
神岡區,房地(土地+建物),臺中市神岡區中山路１３６５巷５號,72.26,住,,,1130506,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0670610,120.65,3,2,2,有,無,6950000,57605,,0.0,0,其他增建；,RPPOMLQKNHJGFDB97DA,120.65,0.0,0.0,無,
大甲區,土地,福順段384地號,1000.41,,特定農業區,農牧用地,1130510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2930000,2929,,0.0,0,,RPPNMLRKNHJGFEB08DA,0.0,0.0,0.0,無,0009
梧棲區,土地,民族段270-7地號,75.94,農,,,1130506,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1493180,19663,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLQJNHJGFFB78DA,0.0,0.0,0.0,無,0010
太平區,房地(土地+建物),臺中市太平區鵬儀路２４０之１號,175.71,工,,,1130501,土地3建物1車位0,全,二層,透天厝,工業用,鋼筋混凝土造,0770815,190.87,2,2,2,有,無,20000000,104783,,0.0,0,頂樓加蓋；其他增建；包含公共設施保留地用地；,RPVOMLMLMHJGFJB78DA,174.4,8.02,8.45,無,
大肚區,土地,文昌段323地號,1483.0,農,,,1130507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11000000,7417,,0.0,0,,RPRNMLTJNHJGFKB98DA,0.0,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區柳川東路二段１４７號５樓之９,3.74,都市：其他:第二種住宅區,,,1130503,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841207,31.58,1,0,1,有,有,2580000,81697,,0.0,0,,RPPNMLRKNHJGFAB67DA,21.42,1.31,0.0,有,
西區,房地(土地+建物),臺中市西區民生路１９７號七樓之１,11.11,都市：其他:第二種住宅區,,,1130503,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780515,99.82,2,2,1,有,有,7400000,74141,,0.0,0,陽台外推；,RPQOMLRKNHJGFAB87DA,69.72,0.32,9.62,有,0011
北區,房地(土地+建物),臺中市北區五常街３８０號五樓之３３,3.06,都市：其他:第一種商業區,,,1130503,土地1建物1車位0,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,33.07,1,1,1,有,有,4300000,130027,,0.0,0,夾層；,RPVNMLQJNHJGFBB18DA,17.49,0.0,2.86,有,
西屯區,房地(土地+建物),臺中市西屯區河南路二段３０１巷２６號四樓之３,3.46,商,,,1130503,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811120,31.6,1,0,1,有,有,3150000,99684,,0.0,0,,RPTOMLRJNHJGFCB28DA,21.75,0.0,2.41,有,
豐原區,土地,新綠山段527-1地號,373.77,都市：其他:道路用地,,,1130513,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500050,12040,,0.0,0,包含公共設施保留地用地；,RPRNMLRKNHJGFDB18DA,0.0,0.0,0.0,無,0012
外埔區,土地,水美東段600地號,180.71,,鄉村區,乙種建築用地,1130507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8746240,48399,,0.0,0,,RPTNMLRJNHJGFEB38DA,0.0,0.0,0.0,無,
大甲區,土地,臨江段944-1地號,9.26,,,,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000,1080,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKNHJGFEB67DA,0.0,0.0,0.0,無,
大安區,土地,中海段564地號,90.92,,特定農業區,甲種建築用地,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,275000,3025,,0.0,0,土地增值稅由承買人負擔。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLLNHJGFEB77DA,0.0,0.0,0.0,無,
清水區,土地,裕嘉段1096地號,266.0,農,,,1130502,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,11278,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLOKNHJGFFB38DA,0.0,0.0,0.0,無,
東勢區,土地,東勢段石角小段3023-3地號,3000.0,,山坡地保育區,農牧用地,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1530000,510,,0.0,0,,RPUNMLNKNHJGFGB38DA,0.0,0.0,0.0,無,0013
東勢區,土地,新伯公段上城小段221-92地號,385.0,,山坡地保育區,林業用地,1130501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,6494,,0.0,0,地上木造房屋一棟未登記建物；,RPPNMLMLNHJGFGB87DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物)+車位,臺中市大里區益民路二段２８８之１號六樓,12.49,住,,,1130502,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840912,77.53999999999999,2,1,1,有,有,5300000,68352,坡道平面,0.0,0,,RPPPMLRJNHJGFIB58DA,49.15,0.0,3.74,有,
太平區,車位,臺中市太平區新平路一段３５巷５５號地下層,0.1,住,,,1130505,土地1建物1車位1,地下層,十二層,其他,防空避難室、停車空間、受電室、梯間,鋼筋混凝土造,0801101,19.85,0,0,0,無,有,600000,,坡道平面,19.85,0,僅車位交易；,RPPNNLRKNHJGFJB68DA,0.0,0.0,0.0,有,0014
龍井區,房地(土地+建物),臺中市龍井區東海街１０４巷３號,37.66,住,,,1130502,土地1建物1車位0,一層，電梯樓梯間,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0691227,83.4,3,2,2,有,無,6500000,77938,,0.0,0,,RPXNMLOKNHJGFKB56DA,83.4,0.0,0.0,無,
潭子區,土地,潭興段50地號,501.0,,特定農業區,農牧用地,1130512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,11976,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKLNHJGFHB87EA,0.0,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區健行路１０４９號２６樓之２３,3.21,都市：其他:第三種商業區,,,1130502,土地1建物1車位0,二十六層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨鋼筋混凝土造,0870528,63.370000000000005,1,0,1,有,有,6380000,100679,,0.0,0,陽台外推；,RPVNMLPKNHJGFAB08DA,35.06,0.0,5.4,有,
西區,房地(土地+建物),臺中市西區三民路一段５０巷８號６樓之４２,2.25,都市：其他:第二種住宅區,,,1130515,土地2建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,29.09,1,1,1,有,有,1880000,64627,,0.0,0,,RPOOMLQKNHJGFAB57DA,15.95,0.0,3.14,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路三段６９號十七樓之１,20.51,都市：其他:第三之一種商業區,,,1130508,土地1建物1車位2,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020910,291.52,4,2,3,有,有,28500000,97763,坡道平面,63.6,0,,RPWPMLSJNHJGFBB68DA,131.39,5.73,17.52,有,
北屯區,房地(土地+建物),臺中市北屯區中清路二段１１４６號,100.0,都市：其他:第三種住宅區。,,,1130501,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0960330,356.83,6,3,5,有,無,40500000,113499,,0.0,0,其他增建；含租約；,RPQQMLSJNHJGFBB18DA,294.2,47.28,15.35,無,
西屯區,房地(土地+建物),臺中市西屯區青海路二段２８６號十一樓之１２,3.49,住,,,1130503,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840420,27.85,1,0,1,有,有,2650000,95153,,0.0,0,,RPRRMLSJNHJGFCB48DA,16.56,0.0,2.44,有,
西屯區,車位,臺中市西屯區四川路８７巷７３號等公共設施,0.0,,,,1130501,土地0建物1車位1,,,其他,,,,16.18,0,0,0,無,有,1350000,,坡道平面,12.93,1350000,建物坐落地號：何安段371地號；僅車位交易；,RPVPMLQKNHJGFCB58DA,0.0,0.0,0.0,有,0015
西屯區,車位,臺中市西屯區四川路８７巷７３號等公共設施,0.0,,,,1130501,土地0建物1車位1,,,其他,,,,16.18,0,0,0,無,有,1350000,,坡道平面,12.93,1350000,建物坐落地號：何安段371地號；僅車位交易；,RPWPMLQKNHJGFCB68DA,0.0,0.0,0.0,有,0015
豐原區,房地(土地+建物),臺中市豐原區合作街１６０巷７弄９號,70.42,住,,,1130506,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0631014,86.4,3,2,1,有,無,9000000,104167,,0.0,0,其他增建；,RPQNMLRJNHJGFDB97DA,86.4,0.0,0.0,無,
后里區,土地,圳寮段385地號,3.9,,山坡地保育區,農牧用地,1130516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4200,1077,,0.0,0,,RPQNMLQKNHJGFDB97DA,0.0,0.0,0.0,無,0017
豐原區,土地,陽明段1029地號,76.67,都市：其他:道路用地,,,1130513,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1477394,19270,,0.0,0,包含公共設施保留地用地；,RPQNMLRKNHJGFDB08DA,0.0,0.0,0.0,無,0018
豐原區,土地,建成段1143地號,97.81,都市：其他:道路用地,,,1130508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1369340,14000,,0.0,0,包含公共設施保留地用地；,RPRNMLLLNHJGFDB67DA,0.0,0.0,0.0,無,0019
清水區,土地,朝天段820-1地號,4.02,農,,,1130520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30000,7463,,0.0,0,,RPQRMLMLNHJGFFB28DA,0.0,0.0,0.0,無,
潭子區,土地,大德段673地號,122.85,農,,,1130508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,48840,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLSJNHJGFHB58DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物)+車位,臺中市大里區青松街１７２之５號,21.63,住,,,1130502,土地3建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791201,114.91999999999999,3,2,2,有,有,8000000,69614,坡道機械,0.0,0,,RPUNMLNJNHJGFIB48DA,83.12,0.0,11.37,有,
烏日區,土地,自治段967-1地號,46.45,,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,25834,,0.0,0,包含公共設施保留地用地；,RPTNMLTKNHJGFIB09DA,0.0,0.0,0.0,無,
中區,房地(土地+建物),臺中市中區光復路合作大樓３－２１號,11.83,都市：其他:第一種商業區,,,1130507,土地2建物1車位0,三層,三層,華廈(10層含以下有電梯),住家用,見其他登記事項,0510814,62.16,2,1,1,有,有,1750000,28153,,0.0,0,,RPTNMLRKNHJGFAB18EA,62.16,0.0,0.0,有,
清水區,房地(土地+建物)+車位,臺中市清水區建國路８２號十三樓之二,50.5,住,,,1130507,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940927,178.39,3,2,2,有,有,8500000,47648,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLNHJGFFB97EA,99.38,0.0,12.88,有,
龍井區,房地(土地+建物),臺中市龍井區新興路３１號四樓之１３號,25.81,,鄉村區,乙種建築用地,1130510,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780710,88.9,4,0,4,有,有,3200000,35996,,0.0,0,,RPPNMLMLNHJGFKB38EA,61.37,0.0,8.18,無,
北屯區,房地(土地+建物),臺中市北屯區北屯路２００之２號５樓,17.33,都市：其他:第二種商業區,,,1130510,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810826,101.86000000000001,3,2,2,有,有,9850000,96701,,0.0,0,陽台外推；,RPVPMLKLNHJGFBB97DA,74.94,2.55,7.55,有,
北屯區,房地(土地+建物),臺中市北屯區天津路三段５２號,21.07,都市：其他:第二種住宅區,,,1130503,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0720824,71.74,2,1,1,有,無,11500000,160301,,0.0,0,,RPXNMLMLNHJGFBB18DA,71.74,0.0,0.0,無,0020
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路三段６１號二十二樓之３,10.3,商,,,1130510,土地1建物1車位1,二十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060524,160.36,3,2,2,有,有,17700000,110377,坡道平面,31.72,0,,RPRPMLKKNHJGFCB57DA,70.66,2.13,10.48,有,0021
后里區,房地(土地+建物),臺中市后里區三豐路三段９５號七樓之２,7.83,,特定農業區,甲種建築用地,1130504,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120829,27.75,0,0,0,無,有,3500000,126126,,0.0,0,,RPSNMLQKNHJGFDB18DA,17.43,0.0,2.29,有,0022
大甲區,土地,賢仁段453地號,130.65,住,,,1130504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9650000,73861,,0.0,0,,RPSNMLMKNHJGFEB87DA,0.0,0.0,0.0,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區平等二街１０１巷１２號,91.09,住,,,1130511,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1111226,186.91,4,3,4,有,無,23000000,123054,,0.0,0,,RPVOMLRKNHJGFFB88DA,172.75,0.0,14.16,有,0023
梧棲區,土地,西建段172地號,10.35,住,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,165600,16000,,0.0,0,畸零地或有合併使用效益；,RPPRMLNLNHJGFFB28DA,0.0,0.0,0.0,無,0024
東勢區,房地(土地+建物),臺中市東勢區名流街２０號,116.37,商,,,1130501,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0770706,124.11,3,2,3,有,無,9000000,72516,,0.0,0,,RPRNMLTJNHJGFGB58DA,123.54,0.0,0.57,無,
新社區,建物,臺中市新社區興社街三段２７巷８號,0.0,,,,1130502,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0780106,128.99,3,1,1,有,無,1700000,13179,,0.0,0,建物坐落地號：國校段666地號；親友、員工、共有人或其他特殊關係間之交易；,RPVNMLRKNHJGFGB88DA,123.08,0.0,5.91,無,
東勢區,土地,新合作段696地號,74.76,住,,,1130513,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1580000,21134,,0.0,0,,RPRNMLNLNHJGFGB18DA,0.0,0.0,0.0,無,
龍井區,土地,東園段11地號,14.81,,,,1130506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,307750,20780,,0.0,0,,RPQNMLQKNHJGFKB68DA,0.0,0.0,0.0,無,0025
大里區,土地,西湖北段396地號,970.01,,特定農業區,農牧用地,1130512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,825,,0.0,0,受民情風俗因素影響；瑕疵物件；畸零地或有合併使用效益；,RPPNMLKLNHJGFIB97EA,0.0,0.0,0.0,無,
北屯區,土地,建和段786地號,30.0,都市：其他:道路用地,,,1130503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2258368,75279,,0.0,0,包含公共設施保留地用地；,RPPNMLMJNHJGFBB17DA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區中清路二段１１６６巷３２號九樓之２,24.46,都市：其他:第二種住宅區,,,1130501,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990603,152.65,3,2,2,有,有,20500000,134294,坡道平面,24.76,0,,RPVRMLSJNHJGFBB78DA,76.22,3.35,8.58,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區太和東街２０２號五樓,25.56,都市：其他:第三種住宅區。,,,1130503,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041216,145.56,3,2,2,有,有,13700000,94119,坡道平面,25.79,0,,RPUQMLKKNHJGFBB87DA,70.16,5.07,6.53,有,
北區,房地(土地+建物),臺中市北區陝西東五街１７之２號,23.58,都市：其他:第二種住宅區,,,1130502,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730705,93.95,3,2,2,有,無,4000000,42576,,0.0,0,賣清親友、員工、共有人或其他特殊關係間之交易；,RPSOMLMLNHJGFBB77DA,76.54,0.0,7.11,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區環中路二段１５７９號三樓之５,9.34,商,,,1130508,土地1建物1車位1,三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071210,91.72999999999999,2,2,1,有,有,12200000,132999,坡道機械,9.67,0,,RPXONLPKNHJGFCB68DA,42.0,0.0,12.3,有,0026
西屯區,房地(土地+建物),臺中市西屯區國安一路２０６巷２４號十二樓之５,29.08,住,,,1130503,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850615,138.23000000000002,3,2,2,有,有,9880000,71475,,0.0,0,陽台外推；,RPOOOLPKNHJGFCB87DA,80.31,1.41,7.67,有,
西屯區,車位,臺中市西屯區龍富二十二路５９號二樓之３等公共設施,0.0,,,,1130516,土地0建物1車位2,,,其他,,,,57.84,0,0,0,無,有,3800000,,坡道平面,57.84,3800000,建物坐落地號：龍富段231地號；僅車位交易；,RPUTMLRKNHJGFCB98DA,0.0,0.0,0.0,有,0027
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路５５號二十七樓之１,44.17,商,,,1130503,土地1建物1車位4,二十七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980309,595.24,3,1,3,有,有,86580000,145454,坡道平面,63.9,0,,RPQQMLNLNHJGFCB97DA,337.72,13.04,40.32,有,
后里區,房地(土地+建物),臺中市后里區內東路廣成巷９７號,165.0,住,,,1130507,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1051216,387.93,13,2,13,有,無,31000000,79911,,0.0,0,,RPPNMLRJNHJGFDB87DA,358.33,0.0,29.6,有,
梧棲區,土地,庄北段495地號,70.65,住,,,1130513,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3205500,45372,,0.0,0,,RPOPMLNKNHJGFFB87DA,0.0,0.0,0.0,無,
沙鹿區,土地,六路段1607地號,18.0,住,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1633680,90760,,0.0,0,,RPPRMLQKNHJGFFB48DA,0.0,0.0,0.0,無,0028
梧棲區,房地(土地+建物),臺中市梧棲區仁美街６７巷５８號,60.17,住,,,1130505,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810811,125.86,3,1,2,有,無,5360000,42587,,0.0,0,,RPRNMLSKNHJGFFB48DA,104.41,0.0,13.28,無,
梧棲區,土地,南簡段1149-10地號,215.0,住,,,1130504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10404800,48394,,0.0,0,,RPTQMLMLNHJGFFB48DA,0.0,0.0,0.0,無,
梧棲區,房地(土地+建物)+車位,臺中市梧棲區大勇南路５號二十樓之３,9.71,商,,,1130513,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121120,127.44999999999999,2,2,1,有,有,7800000,61200,坡道平面,29.59,0,,RPVQMLMLNHJGFFB68DA,56.49,0.0,8.17,有,0029
烏日區,土地,光日段1359地號,42.46,,,,1130504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1926623,45375,,0.0,0,包含公共設施保留地用地；,RPQNMLMLNHJGFIB18DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物),臺中市大里區龍城街６號五樓,13.56,都市：其他:住宅區,,,1130503,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820716,71.72999999999999,3,1,2,有,有,4230000,58971,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNLNHJGFIB78DA,51.76,1.08,4.63,有,
清水區,土地,高美中段155地號,1652.42,農,,,1130522,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,363,,0.0,0,未登記建物；瑕疵物件；,RPPNMLOLNHJGFFB08EA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區國強街６１之３號,32.8,都市：其他:第二種住宅區,,,1130501,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740713,138.94,4,2,4,有,無,7810000,56211,,0.0,0,,RPURMLSJNHJGFBB68DA,126.82,0.0,12.12,無,
北屯區,房地(土地+建物),臺中市北屯區太原路三段１３９巷１號４樓之１５,4.69,都市：其他:第二種住宅區,,,1130503,土地3建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,28.799999999999997,1,0,1,有,有,2560000,88889,,0.0,0,,RPVNMLNLNHJGFBB08DA,18.23,0.0,2.35,有,
北區,房地(土地+建物),臺中市北區漢口路四段６６號１４樓之７　,6.32,都市：其他:第二種住宅區,,,1130513,土地1建物2車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,58.74,2,1,1,有,有,4000000,68097,,0.0,0,門牌號碼:14F之7之買賣總價為新台幣貳佰萬元正門牌號碼:14F之8之買賣總價為新台幣貳佰萬元正二戶建物格局有打通兩房一廳一衛一陽台,RPTOMLNLNHJGFBB97DA,31.52,0.0,6.44,有,
北區,房地(土地+建物),臺中市北區榮華街６８號４樓之１,5.0,都市：其他:第二種住宅區,,,1130510,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771114,30.3,1,0,1,有,無,2480000,81848,,0.0,0,,RPSNMLOLNHJGFBB87DA,22.9,0.0,1.67,無,0030
北屯區,房地(土地+建物),臺中市北屯區益華街１８２號,34.0,都市：其他:第二種住宅區,,,1130503,土地1建物1車位0,一層，二層，騎樓，地下層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0770106,215.77,5,1,2,有,無,1810000,8389,,0.0,0,本件為二親等親屬買賣。親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPXOMLOLNHJGFBB48DA,203.39,6.19,6.19,無,
